Team,Year,Week,Opponent,TotalDVOA,OffenseDVOA,OffPassDVOA,OffRushDVOA,DefenseDVOA,DefPassDVOA,DefRushDVOA,STDVOA
ARI,2015,1,NO,0.573,0.305,0.583,-0.064,-0.216,-0.14,-0.367,0.053
ATL,2015,1,PHI,-0.115,-0.074,0.339,-0.391,0.083,0.111,0.013,0.042
BAL,2015,1,DEN,0.011,-0.31,-0.532,-0.092,-0.268,-0.282,-0.248,0.053
BUF,2015,1,IND,0.405,0.413,1.359,0.08,0.194,0.221,0.131,0.187
CAR,2015,1,JAC,-0.094,-0.285,-0.261,-0.304,-0.304,-0.501,0.073,-0.113
CHI,2015,1,GB,-0.386,0.086,0.032,0.319,0.498,0.861,0.186,0.025
CIN,2015,1,OAK,0.623,0.436,0.837,0.099,-0.246,-0.151,-0.496,-0.06
CLE,2015,1,NYJ,-0.49,-0.254,-0.111,-0.176,0.238,0.316,0.182,0.002
DAL,2015,1,NYG,-0.109,-0.029,0.155,-0.306,0.045,0,0.108,-0.035
DEN,2015,1,BAL,-0.035,-0.587,-0.625,-0.222,-0.5,-0.783,-0.207,0.051
DET,2015,1,SD,-0.285,-0.197,-0.1,-0.373,0.136,0.23,0.005,0.047
GB,2015,1,CHI,0.498,0.433,0.947,0.106,-0.019,-0.203,0.177,0.046
HOU,2015,1,KC,-0.076,0.101,0.261,-0.005,-0.001,0.458,-0.497,-0.178
IND,2015,1,BUF,-0.315,0.027,0.079,-0.003,0.157,0.907,-0.122,-0.184
JAC,2015,1,CAR,0.05,-0.103,-0.214,0.103,-0.312,-0.164,-0.44,-0.159
KC,2015,1,HOU,0.345,0.329,0.892,-0.264,-0.008,0.007,-0.036,0.008
MIA,2015,1,WAS,0.04,-0.075,0.02,-0.114,-0.013,-0.127,0.093,0.102
MIN,2015,1,SF,-0.953,-0.41,-0.544,-0.094,0.475,0.313,0.583,-0.067
NE,2015,1,PIT,0.44,0.503,1.017,-0.138,0.103,0.282,-0.095,0.041
NO,2015,1,ARI,-0.309,0.062,0.221,-0.176,0.334,0.629,-0.043,-0.038
NYG,2015,1,DAL,-0.154,-0.065,-0.014,-0.04,0.178,0.43,-0.335,0.088
NYJ,2015,1,CLE,0.369,0.127,0.127,0.127,-0.265,-0.142,-0.417,-0.023
OAK,2015,1,CIN,-0.496,-0.338,-0.151,-0.561,0.164,0.354,-0.002,0.007
PHI,2015,1,ATL,-0.279,-0.086,-0.09,0.028,0.097,0.449,-0.236,-0.096
PIT,2015,1,NE,-0.028,0.35,0.723,0.112,0.235,0.602,-0.234,-0.144
SD,2015,1,DET,0.271,0.207,0.425,0,-0.178,-0.175,-0.184,-0.115
SEA,2015,1,LARM,-0.299,-0.071,-0.075,0.033,0.231,0.681,-0.189,0.002
SF,2015,1,MIN,0.448,0.375,0.222,0.625,-0.203,-0.236,-0.148,-0.13
TB,2015,1,TEN,-1.309,-0.928,-1.166,-0.499,0.447,1.519,-0.194,0.066
TEN,2015,1,TB,0.818,0.345,1.543,-0.147,-0.487,-0.689,-0.244,-0.014
WAS,2015,1,MIA,-0.409,-0.209,-0.191,-0.052,-0.008,0.066,-0.154,-0.208
ARI,2015,2,CHI,1.004,0.561,1.037,0.136,-0.273,-0.205,-0.326,0.17
ATL,2015,2,NYG,0.102,0.216,0.367,-0.026,0.017,0.172,-0.23,-0.098
BAL,2015,2,OAK,-0.082,0.299,0.51,0.147,0.405,0.447,0.306,0.024
BUF,2015,2,NE,-0.243,-0.024,-0.513,0.489,0.131,0.109,0.231,-0.089
CAR,2015,2,HOU,0.402,0.195,0.129,0.331,-0.303,-0.348,-0.207,-0.096
CHI,2015,2,ARI,-0.72,-0.217,-0.09,-0.077,0.353,0.598,0.124,-0.15
CIN,2015,2,SD,0.054,0.092,0.672,-0.19,0.004,-0.037,0.048,-0.034
CLE,2015,2,TEN,0.263,-0.006,0.113,-0.056,0.011,-0.037,0.067,0.28
DAL,2015,2,PHI,-0.036,-0.304,0.058,-0.224,-0.257,0.06,-0.837,0.01
DEN,2015,2,KC,0.558,-0.021,0.294,-0.56,-0.471,-0.804,-0.171,0.107
DET,2015,2,MIN,-0.072,0.032,0.32,-0.546,0.027,0.591,-0.178,-0.077
GB,2015,2,SEA,0.466,0.32,0.631,0.135,-0.096,-0.161,-0.024,0.05
HOU,2015,2,CAR,-0.082,-0.097,-0.029,-0.166,-0.064,-0.22,0.112,-0.05
IND,2015,2,NYJ,-0.257,-0.295,-0.222,-0.388,-0.084,0.259,-0.506,-0.046
JAC,2015,2,MIA,-0.018,0.062,0.58,-0.346,0.107,0.368,-0.617,0.028
KC,2015,2,DEN,-0.077,-0.224,-0.501,0.205,-0.097,0.152,-0.538,0.05
MIA,2015,2,JAC,-0.283,-0.071,0.214,-0.573,0.103,0.585,-0.289,-0.108
MIN,2015,2,DET,0.295,0.121,0.666,-0.015,-0.137,-0.003,-0.477,0.037
NE,2015,2,BUF,0.495,0.206,0.351,0.23,-0.208,-0.61,0.224,0.08
NO,2015,2,TB,-0.459,-0.251,-0.444,0.181,-0.011,0.363,-0.253,-0.219
NYG,2015,2,ATL,-0.119,-0.019,0.298,-0.328,0.239,0.423,-0.063,0.139
NYJ,2015,2,IND,0.189,-0.089,0.426,-0.562,-0.286,-0.166,-0.443,-0.009
OAK,2015,2,BAL,0.023,0.317,0.497,0.405,0.369,0.545,0.105,0.075
PHI,2015,2,DAL,-0.571,-0.431,-0.029,-1.045,0.02,0.227,-0.196,-0.119
PIT,2015,2,SF,0.765,0.803,1.305,0.391,0.047,0.237,-0.239,0.008
SD,2015,2,CIN,-0.155,0.09,0.265,0.078,0.127,0.36,-0.032,-0.118
SEA,2015,2,GB,0.112,0.235,0.376,0.182,0.19,0.356,-0.003,0.067
SF,2015,2,PIT,-0.954,-0.217,-0.132,-0.221,0.694,1.106,0.229,-0.043
TB,2015,2,NO,0.081,-0.248,-0.006,-0.302,-0.264,-0.506,0.044,0.066
TEN,2015,2,CLE,-0.706,-0.341,-0.449,-0.035,0.038,0.213,-0.038,-0.327
WAS,2015,2,LARM,0.449,0.329,0.879,0.015,-0.122,-0.014,-0.309,-0.001
ARI,2015,3,SF,0.572,-0.024,0.347,-0.179,-0.645,-1.529,-0.11,-0.049
ATL,2015,3,DAL,-0.107,0.365,0.456,0.253,0.49,0.576,0.409,0.019
BAL,2015,3,CIN,-0.075,0.02,0.378,-0.528,0.027,0.227,-0.205,-0.067
BUF,2015,3,MIA,0.558,0.435,1.096,-0.106,-0.201,-0.378,0.168,-0.077
CAR,2015,3,NO,-0.029,0.244,0.483,0.004,0.09,0.227,-0.083,-0.183
CHI,2015,3,SEA,-0.448,-0.211,-0.207,-0.015,-0.055,-0.116,0.028,-0.292
CIN,2015,3,BAL,0.105,0.088,0.489,-0.118,-0.009,0.273,-0.542,0.008
CLE,2015,3,OAK,-0.636,-0.255,0.001,-0.584,0.388,0.629,0.168,0.007
DAL,2015,3,ATL,-0.082,0.326,0.279,0.468,0.437,0.503,0.36,0.03
