year,week,hometeam,awayteam,homescore,awayscore,pointdiff,hwhl,covered,homeline,awayline,predicttotal,actualtotal
2015,1,DEN,BAL,19,13,6,1,1,-4.5,4.5,49.5,32
2015,1,JAC,CAR,9,20,-11,0,0,3,-3,41,29
2015,1,OAK,CIN,13,33,-20,0,0,3.5,-3.5,43.5,46
2015,1,NYJ,CLE,31,10,21,1,1,-3,3,40,41
2015,1,SD,DET,33,28,5,1,1,-3,3,46,61
2015,1,CHI,GB,23,31,-8,0,0,6.5,-6.5,50,54
2015,1,BUF,IND,27,14,13,1,1,2.5,-2.5,46,41
2015,1,HOU,KC,20,27,-7,0,0,-1,1,41,47
2015,1,WAS,MIA,10,17,-7,0,0,3.5,-3.5,43,27
2015,1,SF,MIN,20,3,17,1,1,2.5,-2.5,41.5,23
2015,1,ARI,NO,31,19,12,1,1,-2.5,2.5,47,50
2015,1,DAL,NYG,27,26,1,1,0,-5.5,5.5,51.5,53
2015,1,ATL,PHI,26,24,2,1,1,3,-3,55,50
2015,1,NE,PIT,28,21,7,1,0,-7,7,52,49
2015,1,TB,TEN,14,42,-28,0,0,-3,3,42,56
2015,2,CHI,ARI,23,48,-25,0,0,1.5,-1.5,44.5,71
2015,2,NYG,ATL,20,24,-4,0,0,-2,2,51,44
2015,2,OAK,BAL,37,33,4,1,1,6,-6,43,70
2015,2,PHI,DAL,10,20,-10,0,0,-5.5,5.5,55,30
2015,2,KC,DEN,24,31,-7,0,0,-3,3,43.5,55
2015,2,MIN,DET,26,16,10,1,1,-3,3,44,42
2015,2,CAR,HOU,24,17,7,1,1,-3,3,40.5,41
2015,2,JAC,MIA,23,20,3,1,1,6,-6,41.5,43
2015,2,BUF,NE,32,40,-8,0,0,0,0,45,72
2015,2,IND,NYJ,7,20,-13,0,0,-7,7,47,27
2015,2,CIN,SD,24,19,5,1,1,-3.5,3.5,45.5,43
2015,2,GB,SEA,27,17,10,1,1,-3,3,49,44
2015,2,PIT,SF,43,18,25,1,1,-5,5,44,61
2015,2,NO,TB,19,26,-7,0,0,-10.5,10.5,48.5,45
2015,2,CLE,TEN,28,14,14,1,1,-2.5,2.5,41.5,42
2015,3,DAL,ATL,28,39,-11,0,0,0,0,44,67
2015,3,MIA,BUF,14,41,-27,0,0,-2.5,2.5,44,55
2015,3,SEA,CHI,26,0,26,1,1,-14.5,14.5,45,26
2015,3,BAL,CIN,24,28,-4,0,0,-3,3,44.5,52
2015,3,DET,DEN,12,24,-12,0,0,3.5,-3.5,44.5,36
2015,3,TEN,IND,33,35,-2,0,1,3.5,-3.5,45,68
2015,3,GB,KC,38,28,10,1,1,-6.5,6.5,48,66
2015,3,CAR,NO,27,22,5,1,1,-3,3,45,49
2015,3,CLE,OAK,20,27,-7,0,0,-4.5,4.5,41.5,47
2015,3,NYJ,PHI,17,24,-7,0,0,0,0,47,41
2015,3,MIN,SD,31,14,17,1,1,-3,3,45,45
2015,3,ARI,SF,47,7,40,1,1,-6,6,44,54
2015,3,HOU,TB,19,9,10,1,1,-7,7,40.5,28
2015,3,NYG,WAS,32,21,11,1,1,-4,4,44,53
2015,4,PIT,BAL,20,23,-3,0,0,2,-2,45.5,43
2015,4,TB,CAR,23,37,-14,0,0,3,-3,39.5,60
2015,4,SD,CLE,30,27,3,1,0,-7,7,44.5,57
2015,4,NO,DAL,26,20,6,1,1,-3.5,3.5,47,46
2015,4,SEA,DET,13,10,3,1,0,-10,10,42.5,23
2015,4,SF,GB,3,17,-14,0,0,8.5,-8.5,47.5,20
2015,4,ATL,HOU,48,21,27,1,1,-5,5,46.5,69
2015,4,CIN,KC,36,21,15,1,1,-4,4,44,57
2015,4,DEN,MIN,23,20,3,1,0,-6.5,6.5,43.5,43
2015,4,BUF,NYG,10,24,-14,0,0,-5.5,5.5,47,34
2015,4,MIA,NYJ,14,27,-13,0,0,-1,1,41,41
2015,4,CHI,OAK,22,20,2,1,1,2.5,-2.5,44.5,42
2015,4,WAS,PHI,23,20,3,1,1,3,-3,47.5,43
2015,5,DET,ARI,17,42,-25,0,0,2.5,-2.5,44,59
2015,5,TEN,BUF,13,14,-1,0,1,3,-3,42.5,27
2015,5,KC,CHI,17,18,-1,0,0,-10,10,45.5,35
2015,5,BAL,CLE,30,33,-3,0,0,-6.5,6.5,44,63
2015,5,OAK,DEN,10,16,-6,0,0,5.5,-5.5,43.5,26
2015,5,HOU,IND,20,27,-7,0,0,-1.5,1.5,44.5,47
2015,5,DAL,NE,6,30,-24,0,0,7.5,-7.5,49,36
2015,5,PHI,NO,39,17,22,1,1,-5,5,48,56
2015,5,SD,PIT,20,24,-4,0,0,-3,3,45.5,44
2015,5,CIN,SEA,27,24,3,1,0,-3,3,43,51
2015,5,NYG,SF,30,27,3,1,0,-7,7,43,57
2015,5,ATL,WAS,25,19,6,1,0,-8,8,47.5,44
2015,6,PIT,ARI,25,13,12,1,1,3,-3,44,38
2015,6,NO,ATL,31,21,10,1,1,3,-3,51,52
2015,6,SF,BAL,25,20,5,1,1,3,-3,44,45
2015,6,SEA,CAR,23,27,-4,0,0,-6.5,6.5,42,50
2015,6,DET,CHI,37,34,3,1,1,-2.5,2.5,44,71
2015,6,BUF,CIN,21,34,-13,0,0,-1,1,45,55
2015,6,CLE,DEN,23,26,-3,0,1,4.5,-4.5,42.5,49
2015,6,JAC,HOU,20,31,-11,0,0,0,0,42.5,51
2015,6,IND,JAC,16,13,3,1,0,-8.5,8.5,47,29
2015,6,HOU,JAC,30,6,24,1,1,-6,6,45,36
2015,6,MIN,KC,16,10,6,1,1,-3.5,3.5,44.5,26
2015,6,TEN,MIA,10,38,-28,0,0,-3,3,44.5,48
2015,6,IND,NE,27,34,-7,0,1,7.5,-7.5,55,61
2015,6,PHI,NYG,27,7,20,1,1,-3.5,3.5,50,34
2015,6,GB,SD,27,20,7,1,0,-10,10,50,47
2015,6,NYJ,WAS,34,20,14,1,1,-5.5,5.5,41.5,54
2015,7,TEN,ATL,7,10,-3,0,1,3.5,-3.5,47.5,17
2015,7,ARI,BAL,26,18,8,1,1,-7.5,7.5,48.5,44
2015,7,JAC,BUF,34,31,3,1,1,4,-4,42,65
2015,7,NYG,DAL,27,20,7,1,1,-5,5,45.5,47
2015,7,MIA,HOU,44,26,18,1,1,-5,5,43,70
2015,7,NE,JAC,51,17,34,1,1,-13.5,13.5,48,68
2015,7,DET,MIN,19,28,-9,0,0,2.5,-2.5,44.5,47
2015,7,IND,NO,21,27,-6,0,0,-6,6,52.5,48
