Year,Week,HomeTeam,AwayTeam,HomeScore,AwayScore,PointDiff,HomeLine,AwayLine,PredictTotal,ActualTotal,HOME_TotalDVOA,HOME_OffenseDVOA,HOME_OffPassDVOA,HOME_OffRushDVOA,HOME_DefenseDVOA,HOME_DefPassDVOA,HOME_DefRushDVOA,HOME_STDVOA,VISIT_TotalDVOA,VISIT_OffenseDVOA,VISIT_OffPassDVOA,VISIT_OffRushDVOA,VISIT_DefenseDVOA,VISIT_DefPassDVOA,VISIT_DefRushDVOA,VISIT_STDVOA
2019,1,ARI,DET,27,27,0,2.5,-2.5,47.5,54,-0.109,-0.156,-0.178,-0.022,0.065,0.26,-0.17,0.112,-0.047,-0.027,0.319,-0.273,-0.135,-0.122,-0.165,-0.156
2019,3,ARI,CAR,20,38,-18,2.5,-2.5,45.5,58,-0.426,-0.256,-0.468,0.125,0.208,0.51,-0.101,0.038,0.373,0.106,0.375,-0.107,-0.269,-0.481,0.097,-0.002
2019,4,ARI,SEA,10,27,-17,4,-4,47,37,-0.127,-0.069,-0.286,0.24,-0.028,-0.21,0.159,-0.086,-0.1,-0.082,-0.155,0.063,0.015,-0.058,0.114,-0.003
2019,2,ATL,PHI,24,20,4,1,-1,51,44,-0.021,-0.187,-0.079,-0.209,-0.235,-0.217,-0.268,-0.069,-0.051,-0.278,-0.314,-0.139,-0.19,-0.176,-0.227,0.038
2019,4,ATL,TEN,10,24,-14,-5,5,46,34,-0.044,0.03,0.092,-0.036,-0.008,0.509,-0.347,-0.083,-0.067,-0.108,0.276,-0.323,0.05,0.084,-0.049,0.091
2019,2,BAL,ARI,23,17,6,-13,13,42.5,40,0.153,0.148,0.15,0.303,0.157,0.279,-0.292,0.161,-0.28,-0.061,0.098,-0.247,0.133,0.163,0.094,-0.086
2019,4,BAL,CLE,25,40,-15,-5.5,5.5,46.5,65,-0.378,-0.03,-0.042,-0.016,0.428,0.487,0.364,0.079,0.374,0.344,0.403,0.451,-0.007,-0.016,0.002,0.023
2019,3,BUF,CIN,21,17,4,-5,5,42,38,0.087,-0.15,-0.108,-0.131,-0.291,-0.372,-0.161,-0.054,-0.205,-0.274,-0.24,-0.238,-0.046,0.133,-0.191,0.023
2019,4,BUF,NE,10,16,-6,7.5,-7.5,43.5,26,-0.104,-0.352,-0.404,0.017,-0.464,-0.755,-0.019,-0.215,-0.046,-0.424,-0.602,0.003,-0.452,-0.651,-0.132,-0.074
2019,1,CAR,LARM,27,30,-3,2.5,-2.5,50.5,57,-0.119,-0.046,-0.307,0.402,0.074,-0.03,0.203,0.001,0.043,0.172,0.072,0.297,-0.057,-0.22,0.174,-0.186
2019,2,CAR,TB,14,20,-6,-6.5,6.5,51,34,-0.14,-0.266,0.043,-0.736,0.014,0.354,-0.265,0.14,0.142,-0.021,0.698,-0.27,-0.201,0.091,-0.825,-0.038
2019,1,CHI,GB,3,10,-7,-3,3,46,13,0.064,-0.243,-0.074,-0.435,-0.26,-0.039,-0.623,0.047,0.088,-0.207,0.216,-0.551,-0.251,-0.244,-0.271,0.043
2019,4,CHI,MIN,16,6,10,-3,3,38,22,0.502,-0.006,0.451,-0.342,-0.422,-0.471,-0.324,0.085,-0.271,-0.336,-0.397,-0.1,-0.062,0.259,-0.372,0.003
2019,2,CIN,SF,17,41,-24,2,-2,45,58,-0.774,-0.204,0.092,-0.761,0.563,0.958,0.323,-0.007,0.638,0.51,1.03,0.312,-0.195,-0.031,-0.549,-0.067
2019,5,CIN,ARI,23,26,-3,-4,4,48,49,-0.147,0.121,0.38,-0.133,0.314,0.379,0.262,0.045,-0.108,0.231,0.196,0.406,0.249,0.392,0.031,-0.089
2019,1,CLE,TEN,13,43,-30,-5.5,5.5,45.5,56,-0.48,-0.306,-0.393,0.068,0.235,0.248,0.222,0.061,0.609,0.292,0.444,0.234,-0.249,-0.354,-0.046,0.068
2019,3,CLE,LARM,13,20,-7,2.5,-2.5,51,33,-0.068,-0.296,-0.116,-0.345,-0.221,-0.152,-0.331,0.007,-0.08,-0.214,-0.016,-0.297,-0.113,0.077,-0.39,0.021
2019,1,DAL,NYG,35,17,18,-7,7,45.5,52,0.504,0.596,1.173,-0.154,0.111,0.094,0.147,0.019,-0.601,-0.06,-0.082,0.09,0.535,1.185,-0.278,-0.006
2019,3,DAL,MIA,31,6,25,-20.5,20.5,47.5,37,0.436,0.352,0.014,0.652,-0.083,0.099,-0.389,0,-0.913,-0.384,-0.147,-0.66,0.407,0.207,0.577,-0.122
2019,5,DAL,GB,24,34,-10,-4,4,48,58,-0.187,0.148,0.269,0.068,0.161,0.119,0.204,-0.174,0.189,0.176,0.184,0.29,0.033,0.042,0.018,0.045
2019,2,DEN,CHI,14,16,-2,-1,1,40.5,30,0.002,0.053,0.148,-0.116,0.015,0.006,0.021,-0.036,0.1,0,0.058,-0.035,-0.028,0.064,-0.197,0.073
2019,2,DET,SD,13,10,3,3,-3,47,23,-0.126,0.031,0.428,-0.275,0.055,0.106,-0.015,-0.102,-0.221,0.015,0.138,-0.029,0.088,0.386,-0.181,-0.148
2019,4,DET,KC,30,34,-4,6.5,-6.5,54,64,0.157,0.033,0.32,-0.194,0.013,0.011,0.015,0.136,-0.073,0.121,0.191,0.026,0.068,0.162,-0.028,-0.127
2019,2,GB,MIN,21,16,5,-3,3,45.5,37,0.423,0.105,0.236,0.131,-0.261,-0.609,0.079,0.056,-0.239,-0.135,-0.427,0.137,-0.015,0.038,-0.064,-0.119
2019,3,GB,DEN,27,16,11,-8,8,43.5,43,0.338,0.167,0.535,0.099,-0.21,-0.509,0.007,-0.038,-0.304,-0.166,-0.438,0.025,0.179,0.354,-0.004,0.041
2019,4,GB,PHI,27,34,-7,-4.5,4.5,47.5,61,-0.399,0.065,0.156,0.068,0.351,0.438,0.283,-0.113,0.65,0.489,0.719,0.315,-0.011,0.029,-0.122,0.151
2019,4,HOU,CAR,10,16,-6,-4.5,4.5,46,26,-0.087,-0.339,-0.613,0.235,-0.197,-0.066,-0.386,0.055,0.181,-0.208,-0.13,-0.25,-0.348,-0.756,0.213,0.04
2019,5,HOU,ATL,53,32,21,-4.5,4.5,48.5,85,0.326,0.338,1.12,-0.083,-0.031,0.127,-0.271,-0.043,-0.511,-0.003,0.207,-0.265,0.471,1.143,-0.146,-0.037
2019,3,IND,ATL,27,24,3,-2.5,2.5,47.5,51,-0.227,0.169,0.414,-0.107,0.444,0.72,0.029,0.049,0.279,0.452,0.882,-0.044,0.182,0.444,-0.209,0.009
2019,4,IND,OAK,24,31,-7,-6.5,6.5,44.5,55,-0.396,-0.249,-0.179,-0.312,0.127,0.184,0.071,-0.019,0.309,0.061,0.193,0.149,-0.245,-0.173,-0.373,0.003
2019,3,KC,BAL,33,28,5,-7,7,54.5,61,0.19,0.402,0.766,-0.004,0.2,-0.041,0.441,-0.012,0.135,0.356,0.115,0.661,0.233,0.442,-0.012,0.012
2019,5,KC,IND,13,19,-6,-10,10,57,32,-0.168,-0.18,0.007,-0.334,-0.007,-0.039,0.011,0.005,0.338,0.034,0.078,0.011,-0.233,-0.211,-0.291,0.07
2019,2,LARM,NO,27,9,18,-3,3,54,36,0.634,0.158,0.201,0.254,-0.427,-0.402,-0.462,0.049,-0.495,-0.47,-0.408,-0.361,0.101,0.087,0.115,0.076
2019,4,LARM,TB,40,55,-15,-10,10,48.5,95,-0.232,-0.03,0.129,0.227,0.24,0.613,-0.261,0.038,0.337,0.35,0.776,-0.199,0.071,0.094,-0.049,0.058
2019,1,MIA,BAL,10,59,-49,5,-5,37.5,69,-0.983,-0.46,-0.28,-0.77,0.568,1.465,0.047,0.046,0.784,0.442,1.173,0.029,-0.258,-0.183,-0.443,0.084
2019,2,MIA,NE,0,43,-43,15,-15,47,43,-0.938,-0.685,-0.795,-0.427,0.236,0.69,-0.064,-0.016,0.616,0.083,0.479,-0.057,-0.659,-0.858,-0.173,-0.126
2019,4,MIA,SD,10,30,-20,16.5,-16.5,45,40,-0.817,-0.35,-0.347,-0.353,0.396,1.028,-0.167,-0.071,0.462,0.209,0.74,-0.264,-0.157,-0.155,-0.16,0.096
2019,1,MIN,ATL,28,12,16,-4,4,47.5,40,0.169,0.062,-0.042,0.093,-0.155,-0.078,-0.344,-0.048,-0.421,-0.28,-0.208,-0.392,0.086,0.286,0.029,-0.055
2019,3,MIN,OAK,34,14,20,-7.5,7.5,43.5,48,0.519,0.367,0.499,0.292,-0.097,0.016,-0.28,0.055,-0.616,-0.179,-0.153,-0.224,0.362,0.629,0.214,-0.076
2019,1,NE,PIT,33,3,30,-6,6,51,36,0.785,0.534,1.109,-0.126,-0.184,-0.101,-0.401,0.067,-0.563,-0.15,0.011,-0.375,0.376,0.791,-0.116,-0.037
2019,3,NE,NYJ,30,14,16,-20.5,20.5,46,44,0.693,0.16,0.389,-0.143,-0.541,-0.426,-0.658,-0.008,-0.444,-0.507,-0.382,-0.628,0.013,0.148,-0.241,0.076
2019,1,NO,HOU,30,28,2,-7,7,53,58,0.135,0.335,0.429,0.137,0.294,0.213,0.401,0.094,-0.039,0.232,0.313,0.475,0.254,0.352,0.057,-0.017
2019,4,NO,DAL,12,10,2,3,-3,46,22,0.089,-0.217,-0.35,-0.019,-0.257,-0.025,-0.515,0.049,-0.011,-0.159,0.078,-0.434,-0.192,-0.4,0,-0.044
2019,5,NO,TB,31,24,7,-5.5,5.5,47,55,0.312,0.293,0.705,-0.135,-0.092,-0.157,-0.019,-0.074,-0.334,-0.184,-0.203,0.004,0.229,0.628,-0.246,0.079
2019,2,NYG,BUF,14,28,-14,2.5,-2.5,42.5,42,-0.053,0.107,0.039,0.335,0.237,0.362,0.128,0.077,-0.031,0.073,0.223,0.284,0.02,-0.122,0.28,-0.084
