year,week,hometeam,awayteam,homescore,awayscore,pointdiff,hwhl,covered,homeline,awayline,predicttotal,actualtotal,home_totaldvoa,home_offensedvoa,home_offpassdvoa,home_offrushdvoa,home_defensedvoa,home_defpassdvoa,home_defrushdvoa,home_stdvoa,visit_totaldvoa,visit_offensedvoa,visit_offpassdvoa,visit_offrushdvoa,visit_defensedvoa,visit_defpassdvoa,visit_defrushdvoa,visit_stdvoa
2015,1,DEN,BAL,19,13,6,1,1,-4.5,4.5,49.5,32,-0.035,-0.587,-0.625,-0.222,-0.5,-0.783,-0.207,0.051,0.011,-0.31,-0.532,-0.092,-0.268,-0.282,-0.248,0.053
2015,1,JAC,CAR,9,20,-11,0,0,3,-3,41,29,0.05,-0.103,-0.214,0.103,-0.312,-0.164,-0.44,-0.159,-0.094,-0.285,-0.261,-0.304,-0.304,-0.501,0.073,-0.113
2015,1,OAK,CIN,13,33,-20,0,0,3.5,-3.5,43.5,46,-0.496,-0.338,-0.151,-0.561,0.164,0.354,-0.002,0.007,0.623,0.436,0.837,0.099,-0.246,-0.151,-0.496,-0.06
2015,1,NYJ,CLE,31,10,21,1,1,-3,3,40,41,0.369,0.127,0.127,0.127,-0.265,-0.142,-0.417,-0.023,-0.49,-0.254,-0.111,-0.176,0.238,0.316,0.182,0.002
2015,1,SD,DET,33,28,5,1,1,-3,3,46,61,0.271,0.207,0.425,0,-0.178,-0.175,-0.184,-0.115,-0.285,-0.197,-0.1,-0.373,0.136,0.23,0.005,0.047
2015,1,CHI,GB,23,31,-8,0,0,6.5,-6.5,50,54,-0.386,0.086,0.032,0.319,0.498,0.861,0.186,0.025,0.498,0.433,0.947,0.106,-0.019,-0.203,0.177,0.046
2015,1,BUF,IND,27,14,13,1,1,2.5,-2.5,46,41,0.405,0.413,1.359,0.08,0.194,0.221,0.131,0.187,-0.315,0.027,0.079,-0.003,0.157,0.907,-0.122,-0.184
2015,1,HOU,KC,20,27,-7,0,0,-1,1,41,47,-0.076,0.101,0.261,-0.005,-0.001,0.458,-0.497,-0.178,0.345,0.329,0.892,-0.264,-0.008,0.007,-0.036,0.008
2015,1,WAS,MIA,10,17,-7,0,0,3.5,-3.5,43,27,-0.409,-0.209,-0.191,-0.052,-0.008,0.066,-0.154,-0.208,0.04,-0.075,0.02,-0.114,-0.013,-0.127,0.093,0.102
2015,1,SF,MIN,20,3,17,1,1,2.5,-2.5,41.5,23,0.448,0.375,0.222,0.625,-0.203,-0.236,-0.148,-0.13,-0.953,-0.41,-0.544,-0.094,0.475,0.313,0.583,-0.067
