Week,Home,Away,HomeLine,PredictTotal,HOME_OFFPass_DVOA,HOME_OFFRush_DVOA,HOME_DEFPassDVOA,HOME_DEFRushDVOA,HOME_STDVOA,VISIT_OFFPass_DVOA,VISIT_OFFRush_DVOA,VISIT_DEFPassDVOA,VISIT_DEFRushDVOA,VISIT_STDVOA
7,DEN,KC,4.5,50.5,,,,,,,,,,
7,GB,LARD,-7,46,0.246333333,0.059833333,-0.196,-0.015,0.0025,0.2412,0.0716,0.2264,-0.2378,-0.008
7,ATL,LARM,4,52.5,0.254333333,-0.163333333,0.544666667,-0.185166667,-0.040833333,0.070666667,0.078166667,0.166833333,-0.2265,-0.009666667
7,WAS,SF,9.5,43,-0.155833333,-0.288666667,0.185666667,-0.015,0.0195,0.155416667,0.026666667,-0.772583333,-0.144166667,-0.03625
7,IND,HOU,-2.5,47.5,0.1542,0.0108,0.1412,0.0292,-0.0348,0.235833333,0.017666667,0.033,-0.11,-0.004833333
7,DET,MIN,0,44,0.2978,-0.2522,0.0012,-0.0698,0.063,0.2525,0.031666667,-0.015166667,-0.237166667,0.001666667
7,CIN,JAC,3,47.5,-0.070166667,-0.394833333,0.354166667,0.019666667,0.028666667,0.2725,-0.167833333,0.056166667,0.103166667,0.0335
7,NYG,ARI,-3,50,-0.093666667,0.035,0.232,-0.162333333,-0.023666667,0.009,0.048333333,0.320333333,0.009166667,-0.021333333
7,BUF,MIA,-15.5,41,-0.0926,0.094,-0.227,-0.0038,-0.0606,-0.4732,-0.411,0.7282,0.075,-0.0208
7,TEN,LACH,-1,40.5,-0.062333333,-0.200333333,0.041833333,-0.178333333,-0.0395,0.227333333,-0.211666667,0.191333333,-0.047666667,0.009833333
7,SEA,BAL,-4,50.5,0.635833333,-0.073666667,0.058833333,-0.038666667,-0.039333333,0.108333333,0.211166667,0.1175,-0.128,0.058
7,CHI,NO,-3,38.5,0.1474,-0.2436,-0.0612,-0.2544,0.0416,0.186666667,-0.136833333,0.019666667,-0.103,0.066166667
7,DAL,PHI,-2.5,47.5,0.5206,0.1908,0.2568,-0.0632,-0.019,0.268333333,-0.017166667,0.164,-0.261833333,0.0125
7,NYJ,NE,9.5,43.5,-0.3432,-0.2592,0.0912,-0.1826,0.019,0.2785,-0.0505,-0.636666667,-0.2505,-0.012
8,MIN,WAS,,,,,,,,,,,,
8,ATL,SEA,,,,,,,,,,,,
8,CHI,SD,,,,,,,,,,,,
8,DET,NYG,,,,,,,,,,,,
8,JAC,NYJ,,,,,,,,,,,,
8,LARM,CIN,,,,,,,,,,,,
8,TEN,TB,,,,,,,,,,,,
8,BUF,PHI,,,,,,,,,,,,
8,IND,DEN,,,,,,,,,,,,
8,NO,ARI,,,,,,,,,,,,
8,SF,CAR,,,,,,,,,,,,
8,HOU,OAK,,,,,,,,,,,,
8,NE,CLE,,,,,,,,,,,,
8,KC,GB,,,,,,,,,,,,
8,PIT,MIA,,,,,,,,,,,,
