Home,Away,HomeLine,PredictTotal,Madden Differential,Over/Under,Home Cover?,Class Guess,Year,Week
MIN,WAS,-14.0,40.0,2.1458483544972546,42.96967819196736,0,3,2019,8
ATL,SEA,3.5,54.0,-4.67579540699051,52.76694934961208,0,3,2019,8
CHI,SD,-5.5,40.5,0.7648800391690767,39.61014760673544,0,3,2019,8
DET,NYG,-7.5,48.5,7.740085643792954,46.72340206033101,1,3,2019,8
JAC,NYJ,-4.0,41.0,3.2311617300712747,41.34301570840846,0,3,2019,8
LARM,CIN,-9.0,47.5,4.936286454719749,47.149457805322726,0,3,2019,8
TEN,TB,-2.5,47.0,-3.543110020770018,45.052390427031,0,3,2019,8
BUF,PHI,-1.5,41.5,-3.8547784176322755,42.01289198435266,0,-3,2019,8
IND,DEN,-5.0,43.5,6.043582432267252,44.135251710584456,1,3,2019,8
NO,ARI,-7.5,47.5,4.732453931011662,47.78068724841737,0,3,2019,8
SF,CAR,-6.5,41.5,-1.3291378006418793,39.491858794362315,0,3,2019,8
HOU,OAK,-6.5,48.0,3.535092002570112,49.46672989739034,0,3,2019,8
NE,CLE,-11.0,46.5,4.041774524768929,42.79077661486242,0,3,2019,8
KC,GB,-4.0,48.0,2.5777408466782337,50.794000059057595,0,3,2019,8
PIT,MIA,-16.0,42.5,5.285297629919713,45.026524699605446,0,3,2019,8
