,Year,Week,HomeTeam,AwayTeam,HomeScore,AwayScore,PointDiff,Predicted,Error,HomeLine
2,2019,5,DAL,GB,24,34,-10,-3.587669386345393,6.412330613654607,-4.0
5,2019,5,CIN,ARI,23,26,-3,-0.06469541435234305,2.935304585647657,-4.0
6,2019,5,HOU,ATL,53,32,21,17.217837196111887,-3.782162803888113,-4.5
9,2015,10,SEA,ARI,32,39,-7,5.816306329216304,12.816306329216303,-3.0
10,2015,11,ARI,CIN,34,31,3,-0.8248096580358009,-3.824809658035801,-3.5
12,2015,16,ARI,GB,38,8,30,20.931224732066187,-9.068775267933813,-4.5
14,2016,3,BUF,ARI,33,18,15,6.665936008466763,-8.334063991533238,4.0
27,2019,3,ARI,CAR,20,38,-18,-14.769306869502444,3.2306931304975564,2.5
38,2017,17,SEA,ARI,24,26,-2,8.003065304362448,10.003065304362448,-7.5
39,2018,3,ARI,CHI,14,16,-2,0.6238730695722747,2.6238730695722747,6.0
41,2019,2,BAL,ARI,23,17,6,13.250846136897362,7.250846136897362,-13.0
46,2018,12,SD,ARI,45,10,35,29.711100821544687,-5.288899178455313,-11.0
50,2019,1,ARI,DET,27,27,0,-4.9129050214073615,-4.9129050214073615,2.5
59,2015,7,TEN,ATL,7,10,-3,-6.3174337793447215,-3.3174337793447215,3.5
61,2018,17,BAL,CLE,26,24,2,3.2990659373601234,1.2990659373601234,-4.5
63,2016,8,ATL,GB,33,32,1,6.151541273961203,5.151541273961203,-2.5
64,2015,13,TB,ATL,23,19,4,11.245043677767416,7.245043677767416,-2.5
68,2016,3,NO,ATL,32,45,-13,-5.609737652818092,7.390262347181908,-3.0
75,2016,9,TB,ATL,28,43,-15,-8.434997347303014,6.565002652696986,3.0
80,2017,17,ATL,CAR,22,10,12,13.86159529734158,1.8615952973415801,-3.5
86,2017,8,NYJ,ATL,20,25,-5,-5.664464734033267,-0.6644647340332668,4.5
87,2017,9,CAR,ATL,20,17,3,-1.418046028933621,-4.418046028933621,-2.0
98,2015,3,BAL,CIN,24,28,-4,-3.664422705853566,0.3355772941464341,-3.0
102,2018,9,WAS,ATL,14,38,-24,-14.25069798099208,9.74930201900792,-2.0
104,2018,10,CLE,ATL,28,16,12,13.034083933680144,1.0340839336801437,4.0
107,2018,14,KC,BAL,27,24,3,-4.834829536018487,-7.834829536018487,-7.0
108,2015,15,BAL,KC,14,34,-20,-5.420656305190515,14.579343694809484,7.0
109,2018,17,TB,ATL,32,34,-2,-0.45048608351012964,1.5495139164898704,-1.0
110,2016,1,BAL,BUF,13,7,6,6.197747646936267,0.1977476469362669,-3.0
113,2015,1,DEN,BAL,19,13,6,2.3569809082602786,-3.6430190917397214,-4.5
119,2015,6,SF,BAL,25,20,5,0.45653948644857545,-4.543460513551425,3.0
121,2015,12,CLE,BAL,27,33,-6,-3.640072352273294,2.359927647726706,-1.0
126,2016,2,CLE,BAL,20,25,-5,-1.5030236279199185,3.4969763720800815,4.5
135,2018,1,BAL,BUF,47,3,44,31.13353279498624,-12.866467205013759,-6.0
136,2018,3,BAL,DEN,27,14,13,6.201571015550301,-6.798428984449699,-4.5
137,2016,14,NE,BAL,30,23,7,7.609885199007418,0.6098851990074179,-7.5
142,2017,1,CIN,BAL,0,20,-20,-23.58772100447582,-3.5877210044758208,-3.0
160,2018,8,CAR,BAL,36,21,15,16.629149256394662,1.629149256394662,1.5
163,2018,8,KC,DEN,30,23,7,12.895783851022635,5.895783851022635,-10.0
169,2018,7,IND,BUF,37,5,32,28.068331720109416,-3.9316682798905838,-7.5
172,2015,10,NYJ,BUF,17,22,-5,-6.824963775170545,-1.824963775170545,-3.0
176,2015,14,PHI,BUF,23,20,3,-1.2009742141228088,-4.200974214122809,-2.0
178,2018,6,HOU,BUF,20,13,7,1.2922913194463064,-5.707708680553694,-9.5
180,2018,5,HOU,DAL,19,16,3,3.9201339398806905,0.9201339398806905,-3.0
181,2016,5,LARM,BUF,19,30,-11,-1.417171221416366,9.582828778583634,-2.5
185,2015,2,CAR,HOU,24,17,7,6.310010020658551,-0.6899899793414486,-3.0
191,2017,2,CAR,BUF,9,3,6,9.045372488521277,3.045372488521277,-7.0
194,2017,5,CIN,BUF,20,16,4,6.722447099066428,2.722447099066428,-3.0
195,2018,4,IND,HOU,34,37,-3,-1.591060238312125,1.408939761687875,-2.5
196,2017,9,NYJ,BUF,34,21,13,11.743677774272289,-1.2563222257277111,3.5
197,2017,11,SD,BUF,54,24,30,18.692774268223975,-11.307225731776025,-4.5
199,2016,10,CAR,KC,17,20,-3,4.9673375180654045,7.9673375180654045,-3.0
201,2017,17,MIA,BUF,16,22,-6,-6.619908479958661,-0.6199084799586609,3.0
203,2018,3,MIN,BUF,6,27,-21,-1.1818357431538864,19.818164256846114,-16.5
